trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low
2008-01-02,5265.0,5295.016,5201.892,5272.814,7656660900,1.0542424690299739,1.0467164788243108,1.0756261437863237,0.9859345246524444
2008-01-03,5269.801,5321.457,5211.046,5319.861,9851032300,1.092348185929566,1.043952127787415,1.093891136564702,0.9871500823191346
2008-01-04,5328.411,5372.461,5318.461,5361.574,8087523800,1.1253312715937174,1.0931527354377786,1.1358950843709008,1.0834981072451666
2008-01-07,5357.45,5403.349,5332.597,5393.343,9193300100,1.1488864232663136,1.1139227524735462,1.158633351356817,1.0897132377990233
2008-01-08,5414.558,5480.07,5344.648,5386.531,10247786300,1.1351317276328299,1.1625451943034706,1.2266230844996027,1.0941655798265562
2008-01-09,5365.222,5437.764,5346.846,5435.807,7680586200,1.1756729524508909,1.1063981125047082,1.1775936276903143,1.0883631977373913
2008-01-10,5449.16,5483.827,5407.307,5456.541,9655328500,1.1881762655316197,1.1809093469432315,1.2150405306180243,1.139703230742202
2008-01-11,5471.387,5500.061,5423.807,5484.677,8772475000,1.207732800167464,1.194611553732303,1.2229214574404903,1.1476357143504394
2008-01-14,5507.578,5522.778,5456.929,5497.901,7871409000,1.2125481583865174,1.2221278781011329,1.2371750765781555,1.1719880389127955
2008-01-15,5503.931,5505.035,5405.595,5443.791,8071950600,1.1508332407267186,1.2105100311466654,1.2116055279312288,1.112931433495586
2008-01-16,5395.277,5396.044,5288.765,5290.606,8927834100,0.9915573805478437,1.0957235175932207,1.0964868180977903,0.9897252603015436
2008-01-17,5235.908,5312.287,5039.786,5151.626,9894195200,0.8467187439071457,0.9309308305717038,1.0072464729075792,0.7349715170667273
2008-01-18,5141.371,5187.605,5093.134,5180.514,6863562500,0.8689039546481404,0.8296521304992109,0.8760146688253889,0.7812810234948445
2008-01-21,5188.795,5200.926,4891.285,4914.435,7564395800,0.5960059297761137,0.8721961930314556,0.8844081192727103,0.572701495476794
2008-01-22,4817.997,4817.997,4511.953,4559.751,9249135100,0.2330637578073129,0.49419270563669454,0.49419270563669454,0.18473216139014198
2008-01-23,4572.902,4705.073,4510.504,4703.047,8796397300,0.37195458823282473,0.2397342163223814,0.3740128960701651,0.17634117958283785
2008-01-24,4753.445,4767.799,4625.46,4717.734,9003815800,0.3806978260432177,0.41717810540991374,0.43184131646615903,0.2864360776104495
2008-01-25,4716.977,4806.889,4657.709,4761.688,7792837000,0.4195881301500157,0.37369927685428084,0.4659798918601207,0.3128699382769374
2008-01-28,4720.564,4720.564,4409.079,4419.294,6935025700,0.06197140264751617,0.372715604028976,0.372715604028976,0.051435165992317664
2008-01-29,4426.267,4517.601,4389.517,4457.944,5035622000,0.09547138349053051,0.06262380443415763,0.15733292415934305,0.02451575978593714
2008-01-30,4505.635,4554.343,4330.697,4417.849,5508003700,0.04732440540504709,0.13886500863882414,0.18965624758707075,-0.043555081677518884
2008-01-31,4408.024,4487.318,4368.296,4383.393,4514155800,0.005001825780503456,0.03081983848684773,0.11393516062305145,-0.01082272611863455
2008-02-01,4388.254,4411.704,4195.753,4320.767,5930714200,-0.06672027194196788,0.004345428687336062,0.029038935285009133,-0.19836351432156396
2008-02-04,4415.023,4672.214,4415.023,4672.17,6337457800,0.29742590585733664,0.025445943021618195,0.2974724439011977,0.025445943021618195
2008-02-05,4622.539,4662.971,4550.429,4599.696,5261968400,0.21489906911559,0.23916657028106622,0.28211993048430295,0.16255975379275497
2008-02-13,4525.026,4547.539,4454.642,4490.721,3691415100,0.09273878972074184,0.12937912064093388,0.15342470495827168,0.054203692817387024
2008-02-14,4527.054,4576.983,4507.943,4552.316,3491300500,0.15224887402105408,0.12512479148665262,0.17873409862227724,0.10460510415726662
2008-02-15,4523.792,4523.792,4431.463,4497.127,4138651600,0.08680922443642203,0.11558207808756568,0.11558207808756568,0.01595452118689195
2008-02-18,4546.752,4601.224,4517.596,4568.151,5582461000,0.1572385933523596,0.13402948451029104,0.19310918808733604,0.10240722284388662
2008-02-19,4582.284,4665.554,4544.944,4664.295,6066318800,0.2550122188419842,0.16550965444887294,0.25638622633574637,0.12475870939956626
2008-02-20,4682.588,4695.802,4556.814,4567.026,6647465300,0.14205539329584693,0.2689897468066877,0.2835041247794836,0.13083843946973933
